rank,last_rank,team_id,team_name,team_logo,matches_total,matches_won,matches_draw,matches_lost,goals_pro,goals_against,points,instruction,scheme,desc
1,1,50095962,无锡吴钩,https://sd.qunliao.info/fastdfs7/M00/2F/4F/rBUC6GWXsoeAaassAACF4r5d_FI432.png,3,3,0,0,9,2,9,,dongqiudi://v1/data/team/50095962,
2,2,50015715,南通支云,https://sd.qunliao.info/fastdfs3/M00/B5/92/ChOxM1xC3GCADDjDAACIYq-FPG87912074,3,2,1,0,4,2,7,,dongqiudi://v1/data/team/50015715,
3,3,50128920,广东广州豹,https://sd.qunliao.info/fastdfs7/M00/4D/07/rBUBsmXqb7SAddW6AABMAnotTkI207.png,3,2,0,1,5,3,6,,dongqiudi://v1/data/team/50128920,
4,4,50122465,广西恒宸,https://sd.qunliao.info/fastdfs7/M00/52/2E/rBUBsmlDzvGAEyjwAACQTPGsMj0205.png,3,2,0,1,4,3,6,,dongqiudi://v1/data/team/50122465,
5,5,50129055,深圳青年人,https://sd.qunliao.info/fastdfs7/M00/0D/08/rBUBsmUxDQiAII9KAACcuApA09c065.png,3,2,0,1,2,4,6,,dongqiudi://v1/data/team/50129055,
6,6,50015719,定南赣联,https://sd.qunliao.info/fastdfs7/M00/F9/80/rBUBsme0BYeAfAQGAABxe6iDvrY387.png,3,1,2,0,4,3,5,,dongqiudi://v1/data/team/50015719,
7,7,50095959,延边龙鼎,https://sd.qunliao.info/fastdfs8/M00/65/0E/rBXRn2mC3FKAcFUrAAGMayMkk4c322.png,3,1,1,1,3,1,4,,dongqiudi://v1/data/team/50095959,
8,8,50122488,大连鲲城,https://sd.qunliao.info/fastdfs7/M00/F7/13/rBUBsmetnn6AE35JAACGaTtC8_s793.png,2,1,1,0,3,2,4,,dongqiudi://v1/data/team/50122488,
9,9,50093931,南京城市,https://sd.qunliao.info/fastdfs6/M00/9E/66/rBUESWJ8d1aAEDFIAABzd7dLaR4572.png,3,1,1,1,2,2,4,,dongqiudi://v1/data/team/50093931,
10,10,50129036,陕西联合,https://sd.qunliao.info/fastdfs7/M00/D6/A1/rBUC6GiUZ8KARQniAAA74aJW_7c361.png,2,1,0,1,1,1,3,,dongqiudi://v1/data/team/50129036,
11,11,50095961,石家庄功夫,https://sd.qunliao.info/fastdfs7/M00/E9/F4/rBUC6Gd9ACyAHRFcAACHfMsf5J4004.png,3,1,0,2,2,3,3,,dongqiudi://v1/data/team/50095961,
12,12,50016398,苏州东吴,https://sd.qunliao.info/fastdfs3/M00/B5/92/ChOxM1xC3HeAb6SzAACGjQi3xPE579.png,3,1,0,2,3,4,0,"{'icon': 'https://sd.qunliao.info/fastdfs7/M00/F4/7C/rBUC6GhSZ5KAPG7MAAAC0kLPuLQ642.png', 'title': '扣分说明', 'description': '苏州东吴2026赛季被扣3分并罚款20万元'}",dongqiudi://v1/data/team/50016398,
13,13,50014906,梅州客家,https://sd.qunliao.info/fastdfs3/M00/C0/B0/ChOxM1xSqXGAAs4sAABZCJvj6Fs375.png,3,1,0,2,2,5,0,"{'icon': 'https://sd.qunliao.info/fastdfs7/M00/F4/7C/rBUC6GhSZ5KAPG7MAAAC0kLPuLQ642.png', 'title': '扣分说明', 'description': '梅州客家2026赛季被扣3分并罚款20万元'}",dongqiudi://v1/data/team/50014906,
14,14,50095955,佛山南狮,https://sd.qunliao.info/fastdfs7/M00/33/E7/rBUC6GWnfBOAFCynAADH_8std-U160.png,3,0,0,3,2,6,0,,dongqiudi://v1/data/team/50095955,
15,15,50000337,长春亚泰,https://sd.qunliao.info/fastdfs7/M00/05/CC/rBUC6GfJTjCAXnwFAABoJI5zAdM049.png,3,1,0,2,2,3,-1,"{'icon': 'https://sd.qunliao.info/fastdfs7/M00/F4/7C/rBUC6GhSZ5KAPG7MAAAC0kLPuLQ642.png', 'title': '扣分说明', 'description': '长春亚泰2026赛季被扣4分并罚款20万元'}",dongqiudi://v1/data/team/50000337,
16,16,50014907,宁波,https://sd.qunliao.info/fastdfs7/M00/E6/32/rBUC6Glgl_yAY7hkAAA9scgaOgc424.png,3,0,0,3,3,7,-3,"{'icon': 'https://sd.qunliao.info/fastdfs7/M00/F4/7C/rBUC6GhSZ5KAPG7MAAAC0kLPuLQ642.png', 'title': '扣分说明', 'description': '宁波2026赛季被扣3分并罚款20万元'}",dongqiudi://v1/data/team/50014907,
